# PGM       : FAST
# Author    : Chuntao Chang
# Inf       : satNum Count Statistics
# Time      : 2025-06-01 20:22:52
#             END OF HEADER

+SYS
 gSys  AVE  MIN  MAX
--------------------
    G 11.3    8   14
    E 10.5    6   14
    R  8.0    6   11
    C 22.9   18   28
    J  0.7    0    2
  ALL 53.4   46   62
--------------------
-SYS

+SAT
               epoch    G   E   R   C   J ALL
 2025-01-01 00:57:30   13  13   6  21   1  54
 2025-01-01 00:58:00   13  13   6  22   1  55
 2025-01-01 00:58:30   13  13   6  21   1  54
 2025-01-01 00:59:00   13  13   6  21   1  54
 2025-01-01 00:59:30   13  13   6  21   1  54
 2025-01-01 01:00:00   13  13   6  22   1  55
 2025-01-01 01:00:30   13  13   6  22   1  55
 2025-01-01 01:01:00   13  13   6  22   1  55
 2025-01-01 01:01:30   13  13   6  22   1  55
 2025-01-01 01:02:00   13  13   6  22   1  55
 2025-01-01 01:02:30   13  13   6  22   1  55
 2025-01-01 01:03:00   13  13   6  22   1  55
 2025-01-01 01:03:30   13  13   6  22   1  55
 2025-01-01 01:04:00   13  13   6  22   1  55
 2025-01-01 01:04:30   13  13   6  22   1  55
 2025-01-01 01:05:00   13  13   6  22   1  55
 2025-01-01 01:05:30   13  13   6  22   1  55
 2025-01-01 01:06:00   13  13   6  22   1  55
 2025-01-01 01:06:30   13  13   6  22   1  55
 2025-01-01 01:07:00   13  13   6  23   1  56
 2025-01-01 01:07:30   13  13   6  21   1  54
 2025-01-01 01:08:00   13  13   6  22   1  55
 2025-01-01 01:08:30   13  13   6  22   1  55
 2025-01-01 01:09:00   13  13   6  22   1  55
 2025-01-01 01:09:30   13  13   6  22   1  55
 2025-01-01 01:10:00   13  13   6  22   1  55
 2025-01-01 01:10:30   13  13   6  22   1  55
 2025-01-01 01:11:00   13  13   6  22   1  55
 2025-01-01 01:11:30   13  13   6  22   1  55
 2025-01-01 01:12:00   13  13   6  22   1  55
 2025-01-01 01:12:30   13  13   6  22   1  55
 2025-01-01 01:13:00   13  13   6  22   1  55
 2025-01-01 01:13:30   13  13   6  22   1  55
 2025-01-01 01:14:00   13  13   6  22   1  55
 2025-01-01 01:14:30   13  13   6  22   1  55
 2025-01-01 01:15:00   13  13   6  22   1  55
 2025-01-01 01:15:30   13  13   6  22   1  55
 2025-01-01 01:16:00   13  13   6  22   1  55
 2025-01-01 01:16:30   13  13   6  22   1  55
 2025-01-01 01:17:00   13  13   6  22   1  55
 2025-01-01 01:17:30   13  13   6  22   1  55
 2025-01-01 01:18:00   13  13   6  22   1  55
 2025-01-01 01:18:30   13  13   6  22   1  55
 2025-01-01 01:19:00   13  12   6  22   1  54
 2025-01-01 01:19:30   13  12   6  22   1  54
 2025-01-01 01:20:00   13  12   6  22   1  54
 2025-01-01 01:20:30   13  12   6  21   1  53
 2025-01-01 01:21:00   13  12   6  23   1  55
 2025-01-01 01:21:30   13  12   6  22   1  54
 2025-01-01 01:22:00   12  12   6  21   1  52
 2025-01-01 01:22:30   12  12   6  21   1  52
 2025-01-01 01:23:00   12  12   6  22   1  53
 2025-01-01 01:23:30   12  12   6  21   1  52
 2025-01-01 01:24:00   12  12   6  21   1  52
 2025-01-01 01:24:30   12  12   6  22   1  53
 2025-01-01 01:25:00   12  12   6  21   1  52
 2025-01-01 01:25:30   12  12   6  21   1  52
 2025-01-01 01:26:00   12  12   6  22   1  53
 2025-01-01 01:26:30   12  12   6  23   1  54
 2025-01-01 01:27:00   12  12   6  22   1  53
 2025-01-01 01:27:30   12  12   6  23   1  54
 2025-01-01 01:28:00   12  12   6  22   1  53
 2025-01-01 01:28:30   12  12   6  22   1  53
 2025-01-01 01:29:00   12  12   6  22   1  53
 2025-01-01 01:29:30   12  12   6  22   1  53
 2025-01-01 01:30:00   12  12   6  22   1  53
 2025-01-01 01:30:30   12  12   6  22   1  53
 2025-01-01 01:31:00   12  12   6  22   1  53
 2025-01-01 01:31:30   12  12   6  22   1  53
 2025-01-01 01:32:00   12  12   6  22   1  53
 2025-01-01 01:32:30   12  12   6  22   1  53
 2025-01-01 01:33:00   12  12   6  22   1  53
 2025-01-01 01:33:30   12  12   6  22   1  53
 2025-01-01 01:34:00   12  12   6  22   1  53
 2025-01-01 01:34:30   12  12   6  22   1  53
 2025-01-01 01:35:00   12  12   6  22   1  53
 2025-01-01 01:35:30   12  12   6  22   1  53
 2025-01-01 01:36:00   12  12   6  22   1  53
 2025-01-01 01:36:30   12  12   6  22   1  53
 2025-01-01 01:37:00   12  12   6  22   1  53
 2025-01-01 01:37:30   12  12   6  21   1  52
 2025-01-01 01:38:00   12  12   6  21   1  52
 2025-01-01 01:38:30   12  12   6  21   1  52
 2025-01-01 01:39:00   12  12   6  21   1  52
 2025-01-01 01:39:30   12  12   6  21   1  52
 2025-01-01 01:40:00   12  12   6  21   1  52
 2025-01-01 01:40:30   12  12   6  21   1  52
 2025-01-01 01:41:00   12  12   6  22   1  53
 2025-01-01 01:41:30   12  12   6  22   1  53
 2025-01-01 01:42:00   12  12   6  22   1  53
 2025-01-01 01:42:30   12  12   6  22   1  53
 2025-01-01 01:43:00   12  12   6  22   1  53
 2025-01-01 01:43:30   12  12   6  22   1  53
 2025-01-01 01:44:00   12  12   6  22   1  53
 2025-01-01 01:44:30   12  12   6  22   1  53
 2025-01-01 01:45:00   12  12   6  22   1  53
 2025-01-01 01:45:30   12  12   6  21   1  52
 2025-01-01 01:46:00   12  12   6  21   1  52
 2025-01-01 01:46:30   12  12   6  21   1  52
 2025-01-01 01:47:00   12  12   6  21   1  52
 2025-01-01 01:47:30   12  12   6  21   1  52
 2025-01-01 01:48:00   12  12   6  20   1  51
 2025-01-01 01:48:30   12  12   6  20   1  51
 2025-01-01 01:49:00   12  12   6  20   1  51
