# PGM       : FAST
# Author    : Chuntao Chang
# Inf       : Carrier-to-Noise Ratio [dBHz]
# Time      : 2025-06-01 19:45:03
#             END OF HEADER

+SYS
    gSys   AVE   MIN   MAX
--------------------------
       C  38.9  18.0  53.4
       G  37.8   1.8  57.7
--------------------------
+SYS

+SAT
 prnFreq   AVE   MIN   MAX
--------------------------
 G05_S1C  43.2  26.6  49.9
 G05_S2L  41.0  22.3  46.8
 G05_S1W  40.4  16.4  51.6
 G05_S2W  40.4  16.4  51.6
 G13_S1C  42.5  24.8  50.0
 G13_S1W  29.9   2.8  44.1
 G13_S2W  29.9   2.8  44.1
 G15_S1C  43.3  28.5  48.1
 G15_S1W  39.9  14.9  47.8
 G15_S2W  39.9  14.9  47.8
 G15_S2L  40.5  24.1  45.1
 G29_S1C  39.2  19.6  48.1
 G29_S1W  34.0   8.5  48.7
 G29_S2W  34.0   8.5  48.7
 G29_S2L  36.9  22.1  44.9
 G24_S1C  41.8  21.1  50.9
 G24_S1W  42.7   4.3  56.7
 G24_S2W  42.7   4.3  56.7
 G24_S2L  40.9  20.0  49.2
 G24_S5Q  38.4  19.1  45.6
 G12_S1C  43.0  24.7  49.3
 G12_S1W  39.3   6.1  51.3
 G12_S2W  39.3   6.1  51.3
 G12_S2L  40.1  20.4  46.1
 G23_S1C  43.5  20.8  50.0
 G23_S5Q  39.2  24.6  47.2
 G23_S1L  43.9  22.8  50.4
 G23_S1W  33.6   8.8  47.2
 G23_S2W  33.6   8.8  47.2
 G23_S2L  44.7  31.0  52.6
 G25_S1C  42.9  23.9  50.0
 G25_S1W  41.0   7.2  54.2
 G25_S2W  41.0   7.2  54.2
 G25_S2L  40.6  22.8  47.8
 G25_S5Q  38.5  20.2  44.5
 G32_S1C  45.8  27.0  53.2
 G32_S1W  45.4  10.1  57.7
 G32_S2W  45.4  10.1  57.7
 G32_S2L  43.3  28.4  50.1
 G32_S5Q  37.7  22.5  43.9
--------------------------
-SAT
