#StationName,X,Y,Z,Latitude,Longitude,Height,ReceiverName,ReceiverSatelliteSystem,ReceiverSerialNumber,ReceiverFirmwareVersion,ReceiverElevationCutoff,ReceiverDateInstalled,AntennaName,AntennaRadome,AntennaSerialNumber,AntennaARP,AntennaMarkerUp,AntennaMarkerNorth,AntennaMarkerEast,AntennaDateInstalled,ClockType,ClockInputFrequency,ClockEffectiveDates
REYK00ISL,2587384.533,-1043033.497,5716564.008,64.139,-21.955,93.540,LEICA GR50,GPS+GLO+GAL+BDS+IRNSS+SBAS,1830137,4.52/7.711,0,2022-01-24T14:40Z,LEIAR25.R4,LEIT,725281,BPA,0.0635,0.0000,0.0000,2019-05-14T18:00Z,INTERNAL,,1995-11-02/CCYY-MM-DD
RGDG00ARG,1429870.3961,-3495334.7685,-5122723.0071,-53.786,-67.752,32.800,TRIMBLE ALLOY,GPS+GLO+GAL+BDS+SBAS,5823R40011,6.16,0,2023-03-09T13:40Z,TRM59800.00,SCIS,5222354514,BPA,0.4200,0.0000,0.0000,2018-07-10T15:30Z,INTERNAL,,2013-06-20/CCYY-MM-DD
RIGA00LVA,3183899.344,1421478.378,5322810.736,56.949,24.059,35.155,LEICA GR25,GPS+GLO+GAL+BDS+SBAS,1830430,4.60/6.525,0,2022-11-01T14:30Z,LEIAR25.R4,LEIT,726676,BPA,0.0850,0.0000,0.0000,2013-12-11T15:00Z,INTERNAL,,2005-01-13/CCYY-MM-DD
RIO200ARG,1429907.7834,-3495354.8119,-5122698.6553,-53.785,-67.751,32.477,SEPT ASTERX4,GPS+GLO+GAL+BDS+SBAS,3046694,4.8.2,0,2021-01-20T11:38Z,SEPCHOKE_B3E6,NONE,5482,BPA,0.0690,0.0000,0.0000,2020-02-20T15:00Z,INTERNAL,,2007-04-28/CCYY-MM-DD
RIOP00ECU,1255140.9798,-6253585.5781,-182569.6128,-1.651,-78.651,2793.400,TRIMBLE NETRS,GPS,4927175199,1.3-2,0,2019-03-21T15:03Z,TRM41249.00,NONE,60261189,BAM,0.0729,0.0000,0.0000,2009-06-30T18:48Z,INTERNAL,,1997-03-10/(CCYY-MM-DD)
ROAG00ESP,5105577.352,-555208.925,3769714.099,36.463,-6.206,83.661,SEPT POLARX5TR,GPS+GLO+GAL+BDS+SBAS+IRNSS,3013868,5.3.2,5,2020-02-24T12:50Z,LEIAR25.R4,NONE,726362,BPA,000.0000,000.0000,000.0000,2018-02-05T00:00Z,EXTERNAL H-MASER,10 ,2018-02-05/CCYY-MM-DD
ROCK00USA,-2533220.219,-4631543.3986,3568400.542,34.236,-118.676,553.811,SEPT POLARX5,GPS+GLO+GAL+SBAS,3017808,5.3.2,0,2021-06-10T21:30Z,TWIVC6150,SCIS,VC6150L1907310012,BPA,0.1420,0.0000,0.0000,2021-06-10T21:30Z,INTERNAL,,1995-05-05/(CCYY-MM-DD)
ROTH00ATA,909246.711,-2264763.494,-5873056.98,-67.571,-68.126,40.632,LEICA GRX1200+GNSS,GPS+GLO,495029,8.71/6.405,0,2019-04-04T12:00Z,LEIAR25,LEIT,765734,BPA,0.0000,0.0000,0.0000,2009-12-14T21:15Z,INTERNAL ,1191.715,
SALU00BRA,4566947.87,-4443098.5,-286674.66,-2.593,-44.212,19.353,TRIMBLE NETR9,GPS+GLO+GAL+BDS,5750R51599,5.56,0,2022-12-20T17:08Z,TRM115000.00,NONE,1551129671,BAM,000.008,000.000,000.000,2018-04-09T14:40Z,INTERNAL QUARTZ,,2007-05-23/CCYY-MM-DD
SAMO00WSM,-6129702.2557,-890029.4165,-1516807.4422,-13.849,-171.738,77.285,SEPT POLARX5,GPS+GLO+GAL+BDS+QZSS+IRNSS,3025115,5.5.0,0,2022-11-25T00:36Z,JAVRINGANT_DM,NONE,958,BPA,000.0040,000.0000,000.0000,2017-10-04T01:20Z,INTERNAL,,2001-06-30/(CCYY-MM-DD)
SANT00CHL,1769693.588,-5044574.184,-3468320.907,-33.150,-70.669,723.491,SEPT POLARX5,GPS+GLO+GAL+BDS,3018557,5.5.0,0,2023-03-10T18:36Z,JAVRINGANT_DM,NONE,00849,BPA,0.0614,0.000,0.000,2017-01-06T00:00Z,INTERNAL,,2020-08-27/CCYY-MM-DD
SASK00CAN,-1106129.71,-3758704.03,5016675.77,52.196,-106.398,579.010,JAVAD TRE_G3TH DELTA,GPS+GLO+GAL,01458,3.7.5p1 Jan 23 2019,5,2019-07-30T17:12Z,NOV750.R4,NOVS,NDE10020019,BPA,000.0500,000.0000,000.0000,2013-08-31T00:00Z,INTERNAL,,2003-05-08
SAVO00BRA,4870283.7503,-3864605.3094,-1418872.4823,-12.939,-38.432,76.704,TRIMBLE NETR9,GPS+GLO+GAL+BDS,5750R51577,5.56,0,2022-12-20T17:05Z,TRM115000.00,NONE,1551129631,BAM,0.0010,0.0000,0.0000,2018-04-19T16:00Z,INTERNAL QUARTZ,,2007-04-24/CCYY-MM-DD
SBOK00ZAF,5279492.0167,1703114.2749,-3139092.9922,-29.669,17.879,1043.489,TRIMBLE ALLOY,GPS+GLO,6141R40050,Nav 5.44  Boot 5.44,5,2022-03-29T10:00Z,ASH701941.B,SCIS,CRL1999100113,BPA,0.0,0.0,0.0,2000-02-29T00:00Z,INTERNAL,,
SCH200CAN,1448636.93,-3385243.67,5191046.95,54.832,-66.833,498.624,JAVAD TRE_3N DELTA,GPS+GLO+GAL,02686,3.7.5p1 Jan 23 2019,5,2019-04-02T18:44Z,ASH701945E_M,NONE,CR620045048,BPA,000.1000,000.0000,000.0000,2015-08-07T03:31Z,INTERNAL,5 ,2013-01-21
SCIP00USA,-2556587.44,-4711014.03,3446241.4,32.914,-118.488,453.290,TPS NET-G3A,GPS+GLO,618-01083,3.5,0,2011-06-02T18:51Z,TPSCR.G3,SCIS,383-1839,BPA,0.0083,0.0000,0.0000,2014-10-08T20:46Z,INTERNAL,,1998-01-21/CCYY-MM-DD
SCOR00GRL,1982096.1,-798821.025,5989464.5,70.485,-21.950,128.940,SEPT POLARX5,GPS+GLO+GAL+BDS+QZSS,3014049,5.5.0,0,2022-09-08T12:33Z,LEIAR20,LEIM,49014,BAM,0.1977,0.0000,0.0000,2021-09-09T15:08Z,EXTERNAL RUBIDIUM,5 ,2004-09-12/CCYY-MM-DD
SCRZ00BOL,2743005.924,-5420745.291,-1937117.112,-17.797,-63.160,442.510,LEICA GR10,GPS+GLO+GAL+BDS+SBAS,1700881,4.12/6.712,0,2019-02-20T09:05Z,LEIAR10,NONE,14206107,BAM,0.0000,0.0000,0.0000,2012-11-17T00:00Z,INTERNAL ,,
SCTB00ATA,-1311028.8,308512.8,-6213390.9,-77.849,166.758,-18.450,TRIMBLE ALLOY,GPS+GLO+GAL+BDS+QZSS,5921R40134,5.45,0,2020-09-21T23:55Z,TRM115000.00,NONE,1441025918,BAM,0.0550,0.0000,0.0000,2019-11-01T23:52Z,INTERNAL,,2004-10-28/CCYY-MM-DD
SCUB00CUB,1474538.1759,-5811243.3797,2168958.8133,20.012,-75.762,21.436,JAVAD TRE_G3TH DELTA,GPS+GLO+GAL,204,3.7.10,0,2021-11-16T10:50Z,JAV_RINGANT_G3T,NONE,341,BAM,0.0460,0.0000,0.0000,2014-12-18T09:00Z,INTERNAL,,1995-05-31/CCYY-MM-DD
SEJN00KOR,-3110081.801,4082093.983,3775023.519,36.522,127.303,181.627,TRIMBLE NETR9,GPS+GLO+GAL,5049K72207,5.45,5,2021-08-02T00:00Z,TRM59800.00,SCIS,5109354039,BPA,0.0000,0.0000,0.0000,2012-02-15T00:00Z,INTERNAL,,2012-02-15/CCYY-MM-DD
SEY200SYC,3602867.3394,5238179.3811,-516268.0725,-4.674,55.479,539.216,SEPT POLARX5,GPS+GLO+GAL+BDS,3013491,5.5.0,0,2023-01-31T08:36Z,JAVRINGANT_DM,SCIS,02102,BPA,0.0083,0.00,0.00,2023-01-31T08:36Z,INTERNAL,,2015-02-19/CCYY-MM-DD
SEYG00SYC,3597836.0,5240884.0,-516781.0,-4.679,55.531,-37.238,SEPT POLARX5,GPS+GLO+GAL+BDS+SBAS+IRNSS,3057554,5.5.0,0,2022-12-01T11:12Z,TRM59800.00,NONE,5037353964,BPA,0.5193,-0.0011,-0.0010,2012-06-20T00:00Z,INTERNAL,,2012-06-20/CCYY-MM-DD
SFDM00USA,-2532676.4067,-4615598.8587,3588781.3303,34.460,-118.755,291.939,SEPT POLARX5,GPS+GLO+GAL+BDS+SBAS,3235839,5.5.0,0,2022-09-28T23:13Z,TRM59800.99,SCIT,4624A17075,BPA,0.0083,0.0000,0.0000,2021-04-28T19:47Z,INTERNAL,,1999-10-28/CCYY-MM-DD
SFER00ESP,5105519.055,-555146.005,3769803.246,36.464,-6.206,84.563,LEICA GR30,GPS+GLO+GAL+BDS+SBAS,1708304,4.60/7.811,0,2023-02-15T10:00Z,LEIAR25,NONE,726380,BPA,1.6260,0.0000,0.0000,2019-01-17T11:00Z,EXTERNAL CESIUM,10 ,2019-09-23/CCYY-MM-DD
SGOC00LKA,1113280.0609,6233644.2886,760276.9549, 6.892,79.874,-78.095,JAVAD TRE_3,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,4171601,4.2.01-220630,0,2023-01-13T14:19Z,JAVRINGANT_G5T,NONE,6076C,BAM,0.1300,0.0000,0.0000,2018-09-20T05:20Z,INTERNAL,,2011-12-12/CCYY-MM-DD
SGPO00USA,-667801.1647,-5082858.388,3782394.883,36.604,-97.485,290.586,JAVAD TRE_3S,GPS+GLO+GAL+BDS+SBAS,4745162,4.2.01-220630,0,2023-02-09T15:00Z,JAVRINGANT_G5T,NONE,3203C,BAM,0.1555,0.0000,0.0000,2019-02-04T18:30Z,INTERNAL,,2019-02-04/CCYY-MM-DD
SHAO00CHN,-2831733.583,4675665.958,3275369.41,31.100,121.200,22.505,ASHTECH UZ-12,GPS,UC2200524020,CQ00,4,2007-09-27T00:00Z,AOAD/M_T,JPLA,429,BPA,0.0814,0.0000,0.0000,1995-01-20T00:00Z,INTERNAL,,2009-12-31/CCYY-MM-DD
SHE200CAN,1899507.99,-3991722.36,4582242.82,46.221,-64.552,-14.866,TRIMBLE NETR8,GPS,5003K65317,48.01,0,2019-03-31T01:09Z,TRM29659.00,NONE,4624A17046,BPA,0.1000,0.0000,0.0000,2012-10-04T14:00Z,INTERNAL,,2004-12-02/CCYY-MM-DD
SHLG00IND,-192075.209,5749765.124,2746987.544,25.674,91.913,1007.569,TRIMBLE ALLOY,GPS+QZSS+GLO+GAL+IRNSS+BDS+SBAS,5940R40038,5.45,5,2021-06-14T15:05Z,LEIAR25.R3,NONE,10040008,BPA,000.1500,000.0000,000.0000,2021-05-21T06:52Z,N/A,N/A,N/A
SIN100SGP,-1507972.56,6195614.06,148488.0, 1.343,103.679,92.943,TRIMBLE NETR9,GPS+GLO+GAL+BDS+QZSS+SBAS,5133K77754,5.52,0,2021-09-30T07:15Z,LEIAR25.R3,LEIT,09330041,BPA,000.0000,000.0000,000.0000,2010-09-09T08:00Z,INTERNAL,,2012-02-14/CCYY-MM-DD)
SMST00JPN,-3822373.395,3699359.882,3507585.789,33.578,135.937,97.953,TRIMBLE NETR9,GPS,5427R49080,Nav 5.22 Sig 0.00,15,2021-03-23T00:01Z,TRM57971.00,NONE,00119971,BAM,1.955,0.0,0.0,2020-02-18T06:00Z,EXTERNAL NONE,,
SNI100USA,-2631346.8232,-4646278.7114,3477113.3756,33.248,-119.524,240.089,TPS NET-G3A,GPS+GLO,618-01118,4.7 Feb 21 2019 p10,5,2019-03-27T20:04Z,TPSCR.G3,SCIS,383-1866,BPA,0.0000,0.0000,0.0000,2017-08-08T17:52Z,INTERNAL,,1995-11-21/(CCYY-MM-DD)
SOD300FIN,2200149.224,1091650.85,5866868.645,67.421,26.389,301.294,JAVAD TRE_3 DELTA,GPS+GLO+GAL+BDS+SBAS,02807,4.1.05-220902,0,2022-11-03T08:50Z,JAVRINGANT_DM,SCIS,00745,BPA,0.0000,0.0000,0.0000,2012-11-05T12:00Z,INTERNAL,,2012-11-05/CCYY-MM-DD
SOFI00BGR,4319372.39,1868687.57,4292063.8,42.556,23.395,1120.009,LEICA GR50,GPS+GLO+GAL+BDS+SBAS,1831025,4.50/7.710,0,2021-05-26T09:25Z,LEIAR25.R3,LEIT,09160008,BPA,0.2200,0.0000,0.0000,2010-04-29T13:00Z,INTERNAL,,1997-05-19/CCYY-MM-DD
SOLO00SLB,-5911340.124,2156887.299,-1038664.005,-9.435,159.954,123.225,SEPT POLARX5,GPS+GLO+GAL+BDS+IRNSS+QZSS,3025121,5.5.0,0,2023-01-19T04:29Z,JAVRINGANT_DM,NONE,954,BPA,000.0010,000.0000,000.0000,2015-03-10T01:45Z,INTERNAL,,2008-06-30/(CCYY-MM-DD)
SPK100USA,-2535991.9364,-4642434.9628,3552148.2605,34.059,-118.646,440.546,SEPT POLARX5,GPS+GLO+GAL+SBAS,3052387,5.4.0,0,2022-05-04T21:30Z,TWIVC6150,SCIS,710161202002210014,BPA,0.0000,0.0000,0.0000,2022-05-12T20:40Z,INTERNAL,,1995-03-20/(CCYY-MM-DD)
SPT000SWE,3328984.813,761910.066,5369033.475,57.715,12.891,220.344,SEPT POLARX5TR,GPS+GLO+GAL+BDS+SBAS,3046430,5.5.0,0,2022-12-08T10:00Z,TRM59800.00,OSOD,5025353801,BPA,0.0710,0.0000,0.0000,2020-08-13T10:00Z,EXTERNAL H-MASER,10 ,2019-04-02/CCYY-MM-DD
SPTU00BRA,3766123.31,-4567433.46,-2367323.83,-21.929,-50.492,509.182,TRIMBLE NETR9,GPS+GLO+GAL+BDS,5239K52833,5.45,0,2020-05-13T15:08Z,TRM57971.00,NONE,5311118901,BAM,0.008,0.000,0.000,2014-07-25T00:00Z,INTERNAL,,2014-07-25/CCYY-MM-DD
SSIA00SLV,95610.0615,-6197817.1521,1500617.9412,13.697,-89.116,664.835,TRIMBLE NETR9,GPS+GLO+GAL,5041K71033,5.42,10,2020-01-24T20:22Z,TRM59800.80,SCIS,4623A16423,BPA,0.0000,0.0000,0.0000,2019-05-31T16:44Z,INTERNAL ,,
STFU00USA,-2700404.18,-4292605.52,3855137.41,37.427,-122.173,20.834,JAVAD TRE_G3TH DELTA,GPS+GLO+GAL+SBAS,00184,3.7.10,0,2020-11-02T14:10Z,TRM57971.00,NONE,30123268,BAM,000.0000,000.0000,000.0000,2009-12-09T00:00Z,EXTERNAL RUBIDIUM,10 ,2018-04-24/CCYY-MM-DD
